0.000000 1.000000 -1076157743104000.000000 
0.000000 1.000000  0 
0.000000 2.000000 2801845537865728.000000 
0.000000 2.000000  0 
1.000000 1.000000 1575850344448000.000000 
1.000000 1.000000  0 
1.000000 2.000000 5453853625417728.000000 
1.000000 2.000000  0 
1.000000 3.000000 9331856906387456.000000 
1.000000 3.000000  0 
2.000000 2.000000 8105861712969728.000000 
2.000000 2.000000  0 
2.000000 3.000000 11983864993939456.000000 
2.000000 3.000000  0 
3.000000 2.000000 10757869800521728.000000 
3.000000 2.000000  0 
4.000000 1.000000 9531874607104000.000000 
4.000000 1.000000  0 
4.000000 3.000000 17287881169043456.000000 
4.000000 3.000000  0 
0.000000 3.000000 6679848818835456.000000 
0.000000 3.000000  0 
2.000000 0.000000 349855151030272.000000 
2.000000 0.000000  0 
2.000000 1.000000 4227858432000000.000000 
2.000000 1.000000  0 
3.000000 0.000000 3001863238582272.000000 
3.000000 0.000000  0 
3.000000 1.000000 6879866519552000.000000 
3.000000 1.000000  0 
3.000000 3.000000 14635873081491456.000000 
3.000000 3.000000  0 
4.000000 0.000000 5653871326134272.000000 
4.000000 0.000000  0 
4.000000 2.000000 13409877888073728.000000 
4.000000 2.000000  0 
5.000000 0.000000 8305879413686272.000000 
5.000000 0.000000  0 
5.000000 1.000000 12183882694656000.000000 
5.000000 1.000000  0 
5.000000 2.000000 16061885975625728.000000 
5.000000 2.000000  0 
5.000000 3.000000 19939888182853632.000000 
5.000000 3.000000  0 
